metricId,dimension_id,queryable
churn_prediction_score,user,y
churn_prediction_score,plan_tier,y
churn_prediction_score,cohort,y
churn_prediction_score,metric_time,y
cohort_revenue_retention,cohort_month,y
cohort_revenue_retention,months_since_acquisition,y
cohort_revenue_retention,segment,y
customer_churn_rate,metric_time,y
customer_churn_rate,segment,y
customer_churn_rate,product_tier,y
customer_concentration_risk,company,y
customer_concentration_risk,metric_time,y
deferred_revenue,company,y
deferred_revenue,product_tier,y
deferred_revenue,metric_time,y
employees_per_1m_arr,metric_time,y
gna_pct_revenue,company,y
gna_pct_revenue,metric_time,y
grr,metric_time,y
grr,segment,y
hr_cost_pct_revenue,metric_time,y
iap_revenue,metric_time,y
iap_revenue,product,y
license_revenue,metric_time,y
license_revenue,product,y
market_penetration_rate,segment,n
market_penetration_rate,geography,n
market_penetration_rate,metric_time,y
mrr,company,y
mrr,plan_tier,y
mrr,customer,y
mrr_churn_rate,metric_time,y
mrr_churn_rate,segment,y
net_mrr_growth,metric_time,y
net_revenue,metric_time,y
net_revenue,channel,y
new_arr,metric_time,y
new_arr,rep,y
new_arr,channel,y
nrr,metric_time,y
nrr,segment,y
nrr,company,y
nrr,plan_tier,y
partner_revenue,metric_time,y
partner_revenue,partner,y
partner_revenue_pct,metric_time,y
product_churn_rate,metric_time,y
rd_as_pct_revenue,company,y
rd_as_pct_revenue,metric_time,y
revenue,company,y
revenue,product_line,y
revenue,geography,y
revenue,channel,y
revenue,metric_time,y
revenue,region,y
revenue_growth_rate,metric_time,y
revenue_per_account,metric_time,y
revenue_per_account,segment,y
revenue_per_employee,company,y
revenue_per_employee,metric_time,y
revenue_vs_py,metric_time,y
revenue_ytd,metric_time,y
saas_quick_ratio,metric_time,y
services_revenue,metric_time,y
services_revenue,client,y
subscription_revenue,metric_time,y
subscription_revenue,plan_tier,y
api_latency_p95,endpoint,y
api_latency_p95,environment,y
api_latency_p95,metric_time,y
bug_escape_rate,metric_time,y
bug_escape_rate,severity,y
csat,product,y
csat,channel,y
csat,support_team,y
csat,metric_time,y
customer_retention_rate,metric_time,y
customer_retention_rate,segment,y
d30_retention,metric_time,y
d30_retention,cohort,y
d30_retention,acquisition_channel,y
d30_retention,plan_tier,y
d7_retention,metric_time,y
d7_retention,cohort,y
dau,platform,y
dau,product_area,y
dau,user_segment,y
dau,metric_time,y
dau_mau_ratio,metric_time,y
deployment_frequency,metric_time,y
deployment_frequency,service,y
enps,metric_time,y
enps,department,y
feature_adoption_rate,feature_name,y
feature_adoption_rate,user_segment,y
feature_adoption_rate,plan_tier,y
feature_adoption_rate,metric_time,y
mau,platform,y
mau,product_area,y
mau,user_segment,y
uptime,metric_time,y
uptime,service,y
uptime,environment,y
uptime,system,y
uptime,facility,y
wau,metric_time,y
wau,platform,y
shrinkage_rate,metric_time,y
shrinkage_rate,location,y
adm,school_year,y
avg_teacher_experience,school_year,y
avg_teacher_experience,school,y
